path,filer_cik10,accession_nodash,exhibit_file,prepared_chars
sec_cache_light_fix/CIK1645590/000164559020000032/exh21mergeragreement.htm,1645590,164559020000032,exh21mergeragreement.htm,28000
sec_cache_light_fix/CIK1645590/000119312515368376/d98001dex109.htm,1645590,119312515368376,d98001dex109.htm,5967
sec_cache_light_fix/CIK1645590/000110465916123518/a16-12150_2ex99d2.htm,1645590,110465916123518,a16-12150_2ex99d2.htm,14112
sec_cache_light_fix/CIK1645590/000110465916123518/a16-12150_2ex2d1.htm,1645590,110465916123518,a16-12150_2ex2d1.htm,28000
sec_cache_light_fix/CIK1645590/000110465919030135/a19-10089_1ex99d2.htm,1645590,110465919030135,a19-10089_1ex99d2.htm,6702
sec_cache_light_fix/CIK1645590/000110465919030135/a19-10089_1ex2d1.htm,1645590,110465919030135,a19-10089_1ex2d1.htm,28000
sec_cache_light_fix/CIK105319/000119312512064853/d302562dex101.htm,105319,119312512064853,d302562dex101.htm,18804
sec_cache_light_fix/CIK105319/000119312515346212/d59417dex101.htm,105319,119312515346212,d59417dex101.htm,28000
sec_cache_light_fix/CIK105319/000119312515188080/d908517dex101.htm,105319,119312515188080,d908517dex101.htm,7035
sec_cache_light_fix/CIK105319/000119312516707643/d248299dex101.htm,105319,119312516707643,d248299dex101.htm,18475
sec_cache_light_fix/CIK105319/000119312506258064/dex102.htm,105319,119312506258064,dex102.htm,23836
sec_cache_light_fix/CIK105319/000119312513315209/d577586dex101.htm,105319,119312513315209,d577586dex101.htm,18476
sec_cache_light_fix/CIK105319/000119312519314680/d849846dex103.htm,105319,119312519314680,d849846dex103.htm,6568
sec_cache_light_fix/CIK105319/000119312507013694/dex102.htm,105319,119312507013694,dex102.htm,11387
sec_cache_light_fix/CIK105319/000119312507013694/dex101.htm,105319,119312507013694,dex101.htm,28000
sec_cache_light_fix/CIK105319/000119312513079926/d450348dex1031.htm,105319,119312513079926,d450348dex1031.htm,7035
sec_cache_light_fix/CIK105319/000119312513079926/d450348dex1034.htm,105319,119312513079926,d450348dex1034.htm,7035
sec_cache_light_fix/CIK105319/000119312511115257/dex101.htm,105319,119312511115257,dex101.htm,24022
sec_cache_light_fix/CIK318154/000119312517167330/d389370dex42.htm,318154,119312517167330,d389370dex42.htm,28000
sec_cache_light_fix/CIK1108205/000119312508057344/dex1019.htm,1108205,119312508057344,dex1019.htm,23149
sec_cache_light_fix/CIK924383/000089843002001998/dex102.txt,924383,89843002001998,dex102.txt,28000
sec_cache_light_fix/CIK1090872/000119312505235987/dex992.htm,1090872,119312505235987,dex992.htm,28000
sec_cache_light_fix/CIK1090872/000119312505181522/dex1055.htm,1090872,119312505181522,dex1055.htm,27645
sec_cache_light_fix/CIK1090872/000110465905061577/a05-21802_1ex99d2.htm,1090872,110465905061577,a05-21802_1ex99d2.htm,28000
sec_cache_light_fix/CIK1090872/000119312505225859/dex992.htm,1090872,119312505225859,dex992.htm,14451
sec_cache_light_fix/CIK1641489/000156761915001036/s000995x1_ex10-3.htm,1641489,156761915001036,s000995x1_ex10-3.htm,22729
sec_cache_light_fix/CIK97210/000119312505199570/dex21.htm,97210,119312505199570,dex21.htm,28000
sec_cache_light_fix/CIK1097864/000119312506232382/dex101.htm,1097864,119312506232382,dex101.htm,4968
sec_cache_light_fix/CIK1097864/000095015306003080/p73300exv10w1.htm,1097864,95015306003080,p73300exv10w1.htm,9875
sec_cache_light_fix/CIK1097864/000119312507050732/dex102.htm,1097864,119312507050732,dex102.htm,28000
sec_cache_light_fix/CIK1097864/000119312506217883/dex101.htm,1097864,119312506217883,dex101.htm,20288
sec_cache_light_fix/CIK1002047/000119312511171858/dex24.htm,1002047,119312511171858,dex24.htm,28000
sec_cache_light_fix/CIK4962/000000496207000025/exhibit10_1icp.txt,4962,496207000025,exhibit10_1icp.txt,28000
sec_cache_light_fix/CIK932021/000149315220018189/ex10-2.htm,932021,149315220018189,ex10-2.htm,28000
sec_cache_light_fix/CIK932021/000149315220018189/ex10-1.htm,932021,149315220018189,ex10-1.htm,28000
sec_cache_light_fix/CIK932021/000149315220017314/ex10-2.htm,932021,149315220017314,ex10-2.htm,28000
sec_cache_light_fix/CIK104169/000010416918000028/exhibit10d.htm,104169,10416918000028,exhibit10d.htm,28000
sec_cache_light_fix/CIK104169/000010416918000013/exhibit31-212018.htm,104169,10416918000013,exhibit31-212018.htm,28000
sec_cache_light_fix/CIK104169/000119312518019675/d519750dex992.htm,104169,119312518019675,d519750dex992.htm,20304
sec_cache_light_fix/CIK104169/000010416918000036/exhibit991-4302018.htm,104169,10416918000036,exhibit991-4302018.htm,7035
sec_cache_light_fix/CIK77476/000119312511339607/d267807dex101.htm,77476,119312511339607,d267807dex101.htm,28000
sec_cache_light_fix/CIK77476/000119312508211024/dex104.htm,77476,119312508211024,dex104.htm,28000
sec_cache_light_fix/CIK77476/000119312512081822/d269581dex1065.htm,77476,119312512081822,d269581dex1065.htm,9115
sec_cache_light_fix/CIK875045/000095015717000082/ex10-1.htm,875045,95015717000082,ex10-1.htm,28000
sec_cache_light_fix/CIK875045/000095015717000160/ex10-1.htm,875045,95015717000160,ex10-1.htm,28000
sec_cache_light_fix/CIK1583107/000110465914060469/a14-18091_1ex10d12.htm,1583107,110465914060469,a14-18091_1ex10d12.htm,28000
sec_cache_light_fix/CIK6281/000095013508000199/b68220adexv2w2.htm,6281,95013508000199,b68220adexv2w2.htm,19995
sec_cache_light_fix/CIK6281/000095013507007253/b67578adexv2w1.htm,6281,95013507007253,b67578adexv2w1.htm,28000
sec_cache_light_fix/CIK1093557/000119312509015021/dex101.htm,1093557,119312509015021,dex101.htm,28000
sec_cache_light_fix/CIK1093557/000119312513069590/d449646dex1026.htm,1093557,119312513069590,d449646dex1026.htm,28000
sec_cache_light_fix/CIK1551152/000110465914048179/a14-15821_2ex99d2.htm,1551152,110465914048179,a14-15821_2ex99d2.htm,28000
sec_cache_light_fix/CIK1551152/000110465914052136/a14-15821_12ex2d2.htm,1551152,110465914052136,a14-15821_12ex2d2.htm,28000
sec_cache_light_fix/CIK1551152/000110465914052136/a14-15821_12ex10d1.htm,1551152,110465914052136,a14-15821_12ex10d1.htm,28000
sec_cache_light_fix/CIK1551152/000110465914062500/a14-18836_4ex10d2.htm,1551152,110465914062500,a14-18836_4ex10d2.htm,28000
sec_cache_light_fix/CIK1551152/000110465914062500/a14-18836_4ex10d3.htm,1551152,110465914062500,a14-18836_4ex10d3.htm,28000
