or_name,ee_name,deal_date,n_patents,seller_cik,buyer_cik
BELLEY MANON,WOLVERINE WORLD WIDE INC,2008-07-23,21,,110471.0
BELLEY MANON,WOLVERINE WORLD WIDE INC,2008-12-19,21,,110471.0
BENENATO KERRY,MODERNATX INC,2018-08-21,20,,1682852.0
BENHASE MICHAEL T,INTERNATIONAL BUSINESS MACHINES CORPORATION,2013-01-16,20,,51143.0
BENSON JARED T,TMOBILE USA INC,2009-05-07,23,,1283699.0
BERDICHEVSKY EUGENE,SEURAT TECHNOLOGIES INC,2016-10-27,23,,1321834.0
BETANCOURT MELVIN,FORD GLOBAL TECHNOLOGIES LLC,2016-12-19,21,,932021.0
BETANCOURT MELVIN,FORD GLOBAL TECHNOLOGIES LLC,2018-03-28,20,,932021.0
BHAMIDIPATI SOMASEKHAR,RIGEL PHARMACEUTICALS INC,2003-03-04,20,,1034842.0
BHATTACHARYYA ARUP,MICRON TECHNOLOGY INC,2017-07-01,25,,723125.0
BIND THERAPEUTICS INC,PFIZER INC,2016-08-01,40,1001316.0,78003.0
BIOGEN MA INC,BIOVERATIV THERAPEUTICS INC,2017-01-31,42,875045.0,1001316.0
BIOHAVEN PHARMACEUTICAL HOLDING COMPANY LTD,BIOHAVEN THERAPEUTICS LTD,2020-08-04,20,1935979.0,1935979.0
BIOVALVE TECHNOLOGIES INC,VALERITAS LLC,2006-08-22,20,1321834.0,
BISWAS ARNAB,AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY INC,2007-04-19,24,,4962.0
BITTING DARYL,EASTMAN CHEMICAL COMPANY,2021-03-26,28,,915389.0
BIVENS JOHN A,INTERNATIONAL BUSINESS MACHINES CORPORATION,2018-07-16,25,,51143.0
BLACKMORE ROBERT S,INTERNATIONAL BUSINESS MACHINES CORPORATION,2008-01-31,23,,51143.0
BLAZING PRODUCTS INC,KING TECHNOLOGY OF MISSOURI INC,2017-11-20,30,,1779474.0
BLUEDATA SOFTWARE INC,HEWLETT PACKARD ENTERPRISE DEVELOPMENT LP,2019-04-30,32,,1645590.0
BOE TECHNOLOGY GROUP CO LTD,BEIJING BOE TECHNOLOGY DEVELOPMENT CO LTD,2022-07-26,70,1852440.0,
BOE TECHNOLOGY GROUP CO LTD,BEIJING BOE TECHNOLOGY DEVELOPMENT CO LTD,2022-08-23,40,1852440.0,
BOE TECHNOLOGY GROUP CO LTD,BEIJING BOE TECHNOLOGY DEVELOPMENT CO LTD,2022-09-20,62,1852440.0,
BOE TECHNOLOGY GROUP CO LTD,BEIJING BOE TECHNOLOGY DEVELOPMENT CO LTD,2022-11-01,40,1852440.0,
BOHM SEBASTIAN,DEXCOM INC,2013-05-22,20,,1093557.0
BONALLE DAVID S,AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY INC,2004-07-15,20,,4962.0
BONALLE DAVID S,AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY INC,2004-10-06,37,,4962.0
BONATHAN COLIN R,FORD GLOBAL TECHNOLOGIES LLC,2019-10-08,30,,932021.0
BOYAVAL MARGAUX FRANCES,BECTON DICKINSON AND COMPANY,2012-05-16,20,,10795.0
BOYER BRAD ALAN,FORD GLOBAL TECHNOLOGIES LLC,2016-12-16,21,,932021.0
BRADBURY JONATHAN D,INTERNATIONAL BUSINESS MACHINES CORPORATION,2013-01-23,21,,51143.0
BRANDWINE ERIC JASON,AMAZON TECHNOLOGIES INC,2011-01-14,23,,1321834.0
BRANDWINE ERIC JASON,AMAZON TECHNOLOGIES INC,2013-04-01,22,,1321834.0
BRANDWINE ERIC JASON,AMAZON TECHNOLOGIES INC,2013-10-23,22,,1321834.0
BRAUKER JAMES,DEXCOM INC,2005-03-09,30,,1093557.0
BRAUKER JAMES H,DEXCOM INC,2004-01-12,58,,1093557.0
BRAUKER JAMES H,DEXCOM INC,2005-03-25,36,,1093557.0
BRAUKER JAMES H,DEXCOM INC,2006-07-12,25,,1093557.0
BRION TECHNOLOGIES INC,ASML NETHERLANDS BV,2010-04-16,22,1809987.0,
BRISTER MARK,DEXCOM INC,2005-03-09,49,,1093557.0
BRONCUS TECHNOLOGIES INC,ASTHMATX INC,2003-12-26,24,1321834.0,
BRONCUS TECHNOLOGIES INC,BRONCUS MEDICAL INC,2012-06-08,23,1321834.0,
BROVER VYACHESLAV,CERES INC,2006-05-03,23,,14707.0
BROWN STEPHEN C,VIEW INC,2016-03-04,28,,1865429.0
BUCHER GEORGE,FORD GLOBAL TECHNOLOGIES LLC,2015-10-14,25,,932021.0
BUCHER GEORGE,FORD GLOBAL TECHNOLOGIES LLC,2016-11-01,21,,932021.0
BUCHER GEORGE,FORD GLOBAL TECHNOLOGIES LLC,2017-01-30,31,,932021.0
BUCHER GEORGE,FORD GLOBAL TECHNOLOGIES LLC,2018-01-10,28,,932021.0
BUCHER GEORGE,FORD GLOBAL TECHNOLOGIES LLC,2019-03-21,30,,932021.0
BUER KENNETH V,VIASAT INC,2017-09-13,32,,797721.0
BUSBY DON,BAXTER INTERNATIONAL INC,2005-01-26,28,,10456.0
BUSH WILLIAM H,SONOS INC,2014-06-27,20,,1314727.0
CACHERIA ANTHONY M III,GANART TECHNOLOGIES INC,2010-01-14,21,,1321834.0
CADENT LTD,ALIGN TECHNOLOGY INC,2014-10-28,24,,1097149.0
CALDWELL ANDREW,CADENCE DESIGN SYSTEMS INC,2003-05-08,24,,813672.0
CALYPSO MEDICAL TECHNOLOGIES INC,VARIAN MEDICAL SYSTEMS INC,2011-11-15,44,1321834.0,
CAMPBELL ANNMARIE,FORMA THERAPEUTICS INC,2016-06-15,20,,1001316.0
CAMPI JOHN B JR,INTERNATIONAL BUSINESS MACHINES CORPORATION,2014-11-17,21,,51143.0
CANAVOR DARREN ERNEST,AMAZON TECHNOLOGIES INC,2015-03-16,20,,1321834.0
CAO DENSEN,CAO GROUP INC,2002-07-02,26,,1419559.0
CAO DENSEN,CAO GROUP INC,2015-05-29,23,,1419559.0
CAPITAL ONE FINANCIAL CORPORATION,CAPITAL ONE SERVICES LLC,2014-11-18,458,1725033.0,
CAPITAL ONE FINANCIAL CORPORATION,CAPITAL ONE SERVICES LLC,2017-12-31,237,1725033.0,
CAPSTONE SURGICAL TECHNOLOGIES LLC,GLOBUS MEDICAL INC,2021-11-04,33,,1237831.0
CARAVELLA JUSTIN ANDREW,FORMA THERAPEUTICS INC,2016-06-17,20,,1001316.0
CARBIS DEAN,FORD GLOBAL TECHNOLOGIES LLC,2015-11-15,25,,932021.0
CARBIS DEAN,FORD GLOBAL TECHNOLOGIES LLC,2016-11-01,21,,932021.0
CARBIS DEAN,FORD GLOBAL TECHNOLOGIES LLC,2018-01-10,28,,932021.0
CARDANI JASON,NIKE INC,2015-06-25,44,,320187.0
CAREY JAMES E,INTERNATIONAL BUSINESS MACHINES CORPORATION,1984-05-21,23,,51143.0
CARLONE MARIO ROSARIO JR,PIONEER HIBRED INTERNATIONAL INC,2011-02-25,25,,105319.0
CARLONE MARIO ROSARIO JR,PIONEER HIBRED INTERNATIONAL INC,2012-02-01,35,,105319.0
CARRBRENDEL VICTORIA,DEXCOM INC,2004-01-12,50,,1093557.0
CARRBRENDEL VICTORIA,DEXCOM INC,2005-03-21,29,,1093557.0
CARRIGAN LORI LISA,PIONEER HIBRED INTERNATIONAL INC,2012-02-01,20,,105319.0
CASEBIA THERAPEUTICS LIMITED LIABILITY PARTNERSHIP,CRISPR THERAPEUTICS AG,2020-01-16,20,,1674416.0
CASELLA WASTE SYSTEMS INC,FCR LLC,2011-01-25,21,911177.0,
CASWELL JOHN C,FORD GLOBAL TECHNOLOGIES LLC,2018-04-03,21,,932021.0
CATERPILLAR TRACTOR CO A CORP OF CA,CATERPILLAR INC A CORP OF DE,1986-04-28,35,,18230.0
CHALLITAEID PIA M,AGENSYS INC,2002-05-06,52,,924383.0
CHANDRARATNA ROSHANTHA A,IO THERAPEUTICS INC,2017-04-26,27,,1840233.0
CHANG GREGORY P,DRAGONFLY THERAPEUTICS INC,2019-09-30,30,,1001316.0
CHANG LEO S,NIKE INC,2015-08-24,21,,320187.0
CHANG LEO S,NIKE INC,2016-06-26,22,,320187.0
CHAO POWEI,REALTEK SEMICONDUCTOR CORP,2006-12-26,24,,1097864.0
CHARVAT GREGORY L,HYPERFINE RESEARCH INC,2015-10-27,21,,1833769.0
