permno,cik
15791,0001650575
15820,0000278048
15826,0001512673
15828,0000350067
15831,0001579428
15833,0001534120
15836,0000008617
15847,0001422143
15848,0001345099
15856,0001640266
15857,0001631574
15858,0001122051
15859,0001634997
15902,0001640384
15909,0001650372
15914,0001425287
15917,0001644440
15932,0000702891
15936,0001651308
15937,0001650664
15950,0001445283
15955,0001648893
15960,0001626971
15966,0000067182
15974,0000005818
15975,0000008759
15976,0001395937
15978,0001597313
15991,0000718007
16007,0001386570
16011,0000277161
16020,0001468666
16029,0000028691
16051,0001651235
16053,0001068049
16062,0001651311
16064,0001652130
16066,0001625101
16067,0001429386
16068,0001358762
16069,0001566373
16070,0001411685
16076,0001600438
16088,0000106690
16090,0001539029
16099,0001659617
16100,0001566469
16104,0001649989
16108,0001453687
16109,0000040601
16111,0001556263
16117,0000715969
16126,0000008947
16140,0001447669
16141,0000866216
16142,0000225067
16145,0001494891
16154,0001557142
16155,0001611820
16178,0001551986
16181,0001624326
16182,0001114995
16186,0001027838
16188,0001455684
16193,0000716629
16206,0000000212
16247,0001272842
16249,0000320174
16250,0001420520
16252,0001549084
16255,0001638287
16263,0001377121
16278,0001669812
16281,0001651625
16282,0001419625
16287,0001437352
16304,0001618732
16308,0001651561
16309,0001671933
16336,0000081507
16353,0000009029
16360,0000078581
16361,0000009198
16382,0001385867
16383,0001674416
16386,0001388658
16392,0001438423
16393,0001427570
16397,0001370702
16398,0001481512
16400,0001665300
16424,0000041499
16431,0001679273
16432,0000042582
16433,0000000205
16451,0001679082
16458,0001397047
16460,0000723534
16468,0000009442
16473,0001534525
16496,0001527469
16497,0001677703
16521,0000009514
16532,0001680378
16541,0001603978
16542,0001509745
16543,0001681622
16548,0000046195
16554,0001674335
16555,0000102037
16562,0001370053
16564,0000318378
16570,0001640455
16571,0000013239
16573,0001685316
16591,0000912766
16593,0001579823
16595,0001564408
16597,0001689923
16600,0000047111
16603,0001690511
16626,0001677940
16638,0001681206
16642,0001631825
16647,0001619250
16648,0001692063
16649,0001660134
16650,0001614178
16651,0000824776
16655,0001690820
16657,0001535379
16668,0001937653
16674,0001670349
16678,0000056873
16684,0001657312
16696,0001683606
16698,0001441683
16699,0001697862
16705,0001560241
16707,0000355473
16711,0001668243
16712,0001615165
16715,0000093319
16753,0001702780
16759,0000009568
16765,0001369290
16776,0001420565
16777,0001300699
16781,0001651407
16787,0001660046
16793,0001681682
16805,0001351636
16806,0001554875
16818,0001705843
16819,0001334325
16827,0001668673
16829,0001382821
16850,0001359711
16851,0001666700
16856,0001487198
16866,0001699039
16870,0001032208
16875,0001705682
16880,0001651944
16890,0000009801
16904,0001385508
16914,0001674988
16920,0001709164
16923,0001603454
